Q. No,QuestionType,Blooms Category,Difficulty Level,Topic,QuestionText,MultipleAnswer Allowed,Option1,CA - 1,Option2,CA - 2,Option3,CA - 3,Option4,CA - 4,Option5,CA - 5,Error Flag
1,MULTICHOICE,Knowledge,Easy,Prompt Engineering & Task Delegation,Which of the following is a recommended component to include in a Devin prompt?,N,Repository name and file paths,1,Your personal coding preferences,,A detailed biography of the developer,,The history of the project's funding,,,,N
2,TRUEFALSE,Knowledge,Easy,Prompt Engineering & Task Delegation,"In the context of Devin prompts, acceptance criteria describe what 'done' looks like so the agent can verify success.",N,True,1,False,,,,,,,,N
3,TRUEFALSE,Knowledge,Easy,Prompt Engineering & Task Delegation,Including specific file paths in a Devin prompt helps the agent locate the relevant code faster.,N,True,1,False,,,,,,,,N
4,TRUEFALSE,Knowledge,Easy,Prompt Engineering & Task Delegation,Including the instruction 'Open a PR' in a Devin prompt is recommended because the agent needs explicit direction to create pull requests.,N,True,,False,1,,,,,,,N
5,MULTICHOICE,Knowledge,Average,Prompt Engineering & Task Delegation,What is progressive prompt quality?,N,"Incrementally improving a prompt from vague to specific with repo, paths, criteria, and constraints",1,Writing prompts in multiple programming languages,,Asking the agent to generate its own prompt,,Using increasingly complex vocabulary in each prompt,,,,N
6,TRUEFALSE,Knowledge,Easy,Prompt Engineering & Task Delegation,A Devin prompt should always specify how to verify that the task was completed successfully.,N,True,1,False,,,,,,,,N
7,MULTICHOICE,Knowledge,Average,Prompt Engineering & Task Delegation,Which of the following is an anti-pattern when writing prompts for Devin?,N,Providing a vague instruction like 'fix the bug' without specifying which bug,1,Including the repository name in the prompt,,Specifying the expected output format,,Listing file paths where the issue occurs,,,,N
8,TRUEFALSE,Knowledge,Average,Prompt Engineering & Task Delegation,Including constraints in a Devin prompt limits the scope of changes and helps prevent unintended modifications to unrelated files.,N,True,1,False,,,,,,,,N
9,TRUEFALSE,Knowledge,Average,Prompt Engineering & Task Delegation,A prompt that says 'Make the dashboard look better' is a well-defined task suitable for Devin.,N,True,,False,1,,,,,,,N
10,TRUEFALSE,Knowledge,Average,Prompt Engineering & Task Delegation,Describing the expected behavior versus actual behavior in a prompt helps Devin understand the gap it needs to close.,N,True,1,False,,,,,,,,N
11,MULTICHOICE,Comprehension,Average,Prompt Engineering & Task Delegation,Why does prompt quality directly correlate with agent output quality?,N,Clearer instructions give the agent precise targets to implement and verify against,1,The agent charges more for vague prompts,,Better prompts bypass the need for CI checks,,Higher quality prompts are automatically reviewed by a human first,,,,N
12,TRUEFALSE,Comprehension,Easy,Prompt Engineering & Task Delegation,The reason prompts should include a verification mechanism is so Devin can confirm its own changes are correct before opening a PR.,N,True,1,False,,,,,,,,N
13,MULTICHOICE,Comprehension,Easy,Prompt Engineering & Task Delegation,Why is task decomposition important for complex prompts?,N,Breaking a complex task into stages allows human decision points between agent execution phases,1,It makes the agent run faster,,Decomposed tasks cost fewer ACUs,,The agent cannot handle more than one instruction per prompt,,,,N
14,MULTICHOICE,Comprehension,Average,Prompt Engineering & Task Delegation,A developer writes the prompt: 'Fix the 500 error on /api/users when email contains unicode. The validation logic is in src/validators/user.py. Tests are in tests/test_user_validator.py.' Why is this more effective than 'Fix the bug'?,N,"It provides the exact endpoint, root cause location, and test file so the agent can target the fix and verify it",1,It is longer and longer prompts always produce better results,,It forces the agent to use a specific programming language,,It prevents the agent from modifying any other files,,,,N
15,MULTICHOICE,Comprehension,Average,Prompt Engineering & Task Delegation,What is the risk of writing an overly prescriptive prompt that dictates every line of code the agent should write?,N,It removes the agent's ability to adapt to unexpected issues and may produce a brittle implementation,1,There is no risk; more detail is always better,,The agent will refuse to execute the prompt,,It causes the session to cost more ACUs,,,,N
16,MULTICHOICE,Comprehension,Average,Prompt Engineering & Task Delegation,Why should prompts avoid including the instruction 'Open a PR'?,N,"Devin opens a PR by default, so including it is redundant and adds noise",1,It causes the agent to create duplicate PRs,,The agent cannot open PRs,,It triggers a security violation in the platform,,,,N
17,MULTICHOICE,Comprehension,Average,Prompt Engineering & Task Delegation,Explain why including 'Follow the existing patterns in tests/services/test_auth.py' in a test generation prompt is beneficial.,N,It gives the agent a concrete example of the team's testing conventions to replicate,1,It forces the agent to copy the file exactly,,It prevents the agent from writing any new tests,,It makes the agent skip the test generation step,,,,N
