Q. No,QuestionType,Blooms Category,Difficulty Level,Topic,QuestionText,MultipleAnswer Allowed,Option1,CA - 1,Option2,CA - 2,Option3,CA - 3,Option4,CA - 4,Option5,CA - 5,Error Flag
1,TRUEFALSE,Knowledge,Easy,SDLC Integration & Automation Design,The following statement is correct: Event Source → Trigger Layer → Devin Session → Review Gate,N,True,1,False,,,,,,,,N
2,TRUEFALSE,Knowledge,Easy,SDLC Integration & Automation Design,"In Devin's SDLC integration model, the Devin API endpoint for creating sessions is invoked via POST /sessions from the trigger layer.",N,True,1,False,,,,,,,,N
3,MULTICHOICE,Knowledge,Easy,SDLC Integration & Automation Design,Which of the following are recognized event sources that can trigger a Devin session? Select all that apply.,Y,CI pipeline failure,0.25,SAST finding above threshold,0.25,Work item tagged in an issue tracker,0.25,Schedule (cron expression),0.25,Manual keyboard shortcut in IDE,,N
4,TRUEFALSE,Comprehension,Average,SDLC Integration & Automation Design,The following statement is correct: To prevent infinite automation loops where Devin's output triggers itself repeatedly,N,True,1,False,,,,,,,,N
5,TRUEFALSE,Comprehension,Average,SDLC Integration & Automation Design,The following statement is correct: To prevent duplicate sessions from being created when the same event is delivered multiple times,N,True,1,False,,,,,,,,N
6,TRUEFALSE,Comprehension,Average,SDLC Integration & Automation Design,The following statement is correct: The webhook payload shape and findings format that any tool in that category must produce,N,True,1,False,,,,,,,,N
7,TRUEFALSE,Comprehension,Average,SDLC Integration & Automation Design,The following statement is correct: So Devin's isolated VM can run the full build/test cycle without requiring access to external shared infrastructure,N,True,1,False,,,,,,,,N
8,TRUEFALSE,Comprehension,Average,SDLC Integration & Automation Design,The PR feedback loop design pattern ensures that Devin never merges its own pull requests — the merge decision always belongs to a human reviewer.,N,True,1,False,,,,,,,,N
9,MULTICHOICE,Application,Average,SDLC Integration & Automation Design,A client wants to connect their SonarQube instance to trigger Devin sessions for automatic remediation of HIGH findings. Which integration architecture should the architect implement?,N,"Configure SonarQube webhook → intermediary trigger layer (e.g., GitHub Actions or Lambda) → POST to Devin API /sessions with finding details in the prompt",1,Install SonarQube directly on Devin's VM and have it scan during every session,,Poll the SonarQube API every 5 minutes from a scheduled Devin session,,Embed SonarQube credentials in the Devin prompt so it can query findings on demand,,,,N
10,MULTICHOICE,Application,Average,SDLC Integration & Automation Design,An architect is designing a CI failure auto-remediation pipeline. The CI system is Azure DevOps Pipelines. Which trigger mechanism is MOST appropriate?,N,Azure DevOps service hook (webhook) on build failure → Azure Function → Devin API POST /sessions with pipeline run ID and failure logs,1,Devin polls the Azure DevOps API every minute to check for failed builds,,Add a final step in every pipeline YAML that calls Devin if the previous step failed,,Configure Devin as a required reviewer on all PRs so it monitors build results natively,,,,N
11,MULTICHOICE,Application,Average,SDLC Integration & Automation Design,A client's development workflow requires that every Jira ticket tagged 'Devin:Implementation' triggers an automated session. The architect must prevent the same ticket from spawning multiple sessions if Jira sends duplicate webhooks. Which safeguard applies?,N,Include the Jira issue key as an idempotency key in the Devin API call so duplicate events for the same ticket are rejected,1,Set a rate limit on the Devin API of one session per minute,,Configure Jira to only send webhooks during business hours,,Have Devin check if a branch already exists for that ticket before starting work,,,,N
12,MULTICHOICE,Application,Average,SDLC Integration & Automation Design,A team wants Devin to handle weekly dependency updates across 12 microservices. Each service is independent. What is the correct SDLC integration pattern?,N,Scheduled parent session (weekly cron) that spawns 12 child sessions — one per service — each running the same dependency update playbook,1,"12 separate cron schedules, each pointing to a different repo with the same prompt",,A single scheduled session that clones all 12 repos sequentially and opens PRs,,A GitHub Actions workflow that runs npm update in all repos and commits directly to main,,,,N
13,MULTICHOICE,Synthesis,Average,SDLC Integration & Automation Design,An architect is implementing a security scanning pipeline using the toolchain-agnostic stub pattern. The client currently uses Checkmarx but plans to migrate to Snyk within 6 months. How should the trigger layer be designed?,N,"Define a normalized findings schema that both Checkmarx and Snyk webhooks are transformed into before invoking the Devin API — the Devin prompt references the normalized format, not the tool-specific one",1,"Build two separate trigger pipelines, one for Checkmarx and one for Snyk, each with its own Devin prompt",,Wait until the Snyk migration is complete before building the automation,,Have Devin install both Checkmarx and Snyk CLI tools on its VM and run whichever is configured,,,,N
